A1,Good,No Exceptional Delays,2025-11-09 20:23:38.316918
A10,Good,No Exceptional Delays,2025-11-09 20:23:38.316918
A12,Good,No Exceptional Delays,2025-11-09 20:23:38.316918
A13,Good,No Exceptional Delays,2025-11-09 20:23:38.316918
A2,Good,No Exceptional Delays,2025-11-09 20:23:38.316918
A20,Good,No Exceptional Delays,2025-11-09 20:23:38.316918
South Circular (A205),Good,No Exceptional Delays,2025-11-09 20:23:38.316918
A21,Good,No Exceptional Delays,2025-11-09 20:23:38.316918
A23,Good,No Exceptional Delays,2025-11-09 20:23:38.316918
A24,Good,No Exceptional Delays,2025-11-09 20:23:38.316918
A3,Good,No Exceptional Delays,2025-11-09 20:23:38.316918
A316,Good,No Exceptional Delays,2025-11-09 20:23:38.316918
A4,Good,No Exceptional Delays,2025-11-09 20:23:38.316918
A40,Good,No Exceptional Delays,2025-11-09 20:23:38.316918
North Circular (A406),Good,No Exceptional Delays,2025-11-09 20:23:38.316918
A41,Good,No Exceptional Delays,2025-11-09 20:23:38.316918
Bishopsgate Cross Route,Good,No Exceptional Delays,2025-11-09 20:23:38.316918
Blackwall Tunnel,Good,No Exceptional Delays,2025-11-09 20:23:38.316918
City Route,Good,No Exceptional Delays,2025-11-09 20:23:38.316918
Farringdon Cross Route,Good,No Exceptional Delays,2025-11-09 20:23:38.316918
Inner Ring,Good,No Exceptional Delays,2025-11-09 20:23:38.316918
Silvertown Tunnel,Good,No Exceptional Delays,2025-11-09 20:23:38.316918
Southern River Route,Good,No Exceptional Delays,2025-11-09 20:23:38.316918
Western Cross Route,Good,No Exceptional Delays,2025-11-09 20:23:38.316918
A1,Good,No Exceptional Delays,2025-11-09 20:24:38.734416
A10,Good,No Exceptional Delays,2025-11-09 20:24:38.734416
A12,Good,No Exceptional Delays,2025-11-09 20:24:38.734416
A13,Good,No Exceptional Delays,2025-11-09 20:24:38.734416
A2,Good,No Exceptional Delays,2025-11-09 20:24:38.734416
